,Industry
UCOBANK.NS,Banks - PSU
UFLEX.NS,Packaging
UGARSUGAR.NS,Sugar
UJAAS.NS,
ULTRACEMCO.NS,Cement
UMESLTD.NS,
UNICHEMLAB.NS,Pharmaceuticals
UNIENTER.NS,Trading
UNIONBANK.NS,Banks - PSU
UNIVCABLES.NS,Cables
UPL.NS,
USHAMART.NS,Steel
UTTAMSTL.NS,Steel
UTTAMSUGAR.NS,Sugar
V2RETAIL.NS,
VADILALIND.NS,
VAIBHAVGBL.NS,
VAKRANGEE.NS,
VARDHACRLC.NS,Textiles
VARDMNPOLY.NS,Textiles
VASCONEQ.NS,Construction
VASWANI.NS,
VEDL.NS,Metals
VENKEYS.NS,Misc
VESUVIUS.NS,Misc
VGUARD.NS,
VHL.NS,Finance
VINATIORGA.NS,Chemicals
VINDHYATEL.NS,Cables
VINYLINDIA.NS,Chemicals
VIPCLOTHNG.NS,
VIPIND.NS,Plastics
VISAKAIND.NS,Cement
VIVIMEDLAB.NS,
VLSFINANCE.NS,Finance
VMART.NS,
VOLTAMP.NS,Power
VOLTAS.NS,Diversified
VSSL.NS,
VSTIND.NS,Cigarettes
VSTTILLERS.NS,
VTL.NS,Textiles
WABAG.NS,Engineering
WABCOINDIA.NS,
WALCHANNAG.NS,Engineering
WEBELSOLAR.NS,Engineering
WEIZMANIND.NS,Textiles
WELCORP.NS,Steel
WELENT.NS,
WELINV.NS,
WELSPUNIND.NS,Textiles
WENDT.NS,Grinding Wheels
WHEELS.NS,
WHIRLPOOL.NS,Consumer Goods
WILLAMAGOR.NS,Consumer Goods
WINDMACHIN.NS,
WIPRO.NS,Computers
WOCKPHARMA.NS,Pharmaceuticals
WONDERLA.NS,
WSTCSTPAPR.NS,Paper
XCHANGING.NS,
XPROINDIA.NS,Packaging
YESBANK.NS,Banks - Private
ZEEL.NS,Entertainment
ZEELEARN.NS,
